    ,大気環境月報　　,平成27年1月
    ,測定場所,(107),品川区豊町                   ,項目, (2),オキシダント          ,単位,   ppb
    ,  1時,  2時,  3時,  4時,  5時,  6時,  7時,  8時,  9時, 10時, 11時, 12時, 13時, 14時, 15時, 16時, 17時, 18時, 19時, 20時, 21時, 22時, 23時, 24時, 平均, 最高, 最低, 回数, 合計
22日,   35,   23,   22,   19,   20,   24,   28,   35,   48,   48,   52,   52,   54,   52,*****,*****,   54,   65,   49,   32,   25,   19,   21,   19,   36,   65,   19,   22,  796
23日,   22,   22,   19,   24,   21,   29,   74,  116,  174,  130,   30,   13,   15,   14,   14,   12,   12,   12,    9,   10,    8,    8,    8,    6,   33,  174,    6,   24,  802
24日,    5,    5,    5,    7,    7,    8,   10,   15,   19,   22,   25,   41,   40,   39,   40,   44,   42,   51,   78,   97,  108,  105,  100,   96,   42,  108,    5,   24, 1009
25日,   96,  108,   82,   52,   31,   34,   31,   31,   29,   28,   27,   20,   18,   15,   12,   13,   17,   24,   22,   24,   20,   21,   25,   30,   34,  108,   12,   24,  810
26日,*****,   32,   18,   14,   15,   21,   28,   35,   38,   46,   40,   29,   78,   75,   34,   53,   73,  109,  150,  145,  129,  118,   95,   74,   63,  150,   14,   23, 1449
27日,   42,   34,   29,   25,   27,   16,   20,   32,   36,   38,   32,   29,   26,   26,   30,   17,   16,   16,   14,   14,   12,   10,    9,    9,   23,   42,    9,   24,  559
28日,    9,   10,    8,    6,    6,    7,   10,   14,   14,   15,   12,   10,   11,   11,   11,    9,   10,   10,   10,   11,   11,   11,   12,   10,   10,   15,    6,   24,  248
29日,   10,    9,    7,    7,    8,    9,   16,   28,   30,   30,   25,   29,   41,*****,   34,   29,   33,   33,   28,   18,   20,   24,   35,   36,   23,   41,    7,   23,  539
30日,   29,   27,   28,   29,   34,   34,   37,   40,   42,   42,   42,   42,   42,   36,   42,   37,   33,   30,   30,   23,   25,   27,   31,   46,   35,   46,   23,   24,  828
31日,   42,   51,   51,   52,   56,   62,   53,   35,   24,   17,   14,    9,    6,    6,    6,    6,    9,   10,   10,   10,   12,   14,   15,   14,   24,   62,    6,   24,  584
